model_year,milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
2022,3300,Gasoline,Dual Shift,No,Yes,3,0.06567590139455001
2016,41615,Electric,Automatic,No,Yes,9,0.13512759780622996
2019,50000,Gasoline,Automatic,Yes,Yes,6,0.14131680885894884
2014,117000,Gasoline,Dual Shift,Yes,Yes,11,0.13348539066302648
2021,15615,Hybrid,Automatic,No,Yes,4,0.03859260897472602
2013,113000,Gasoline,Manual,Yes,Yes,12,0.06660894803236132
2022,10500,Gasoline,Dual Shift,Unknown,No,3,0.0663601135363031
2021,61117,Gasoline,Automatic,No,Yes,4,0.11825491353803805
2003,142000,Gasoline,Manual,Yes,Yes,22,0.10635274757245923
2021,11459,Gasoline,Automatic,No,Yes,4,0.0313817504617319
2019,59271,Gasoline,Automatic,No,Yes,6,0.14807557333039253
2011,105000,Gasoline,Automatic,No,Yes,14,0.1535126764546236
2018,60660,Gasoline,Automatic,Yes,Yes,7,0.0663090064894447
2020,53750,Gasoline,Automatic,No,Yes,5,0.14391480718009758
2023,13735,Gasoline,Automatic,No,No,2,0.07598020607242
2022,28000,Electric,Automatic,No,Yes,3,0.18183860328078152
2022,23850,Diesel,Automatic,No,Yes,3,-0.060268971656517095
2022,1750,Gasoline,Automatic,No,Yes,3,-0.1375386899814806
2007,130000,Gasoline,Automatic,Yes,Yes,18,0.16833286013979837
2022,11089,Gasoline,Manual,No,No,3,-0.016214153950583742
2021,35921,Gasoline,Automatic,No,No,4,-0.0025128776317098513
2023,1800,Gasoline,Automatic,Unknown,No,2,-0.1056529396359294
2020,63875,Hybrid,Automatic,Yes,Yes,5,0.05785239386837969
2023,12500,Hybrid,Automatic,No,Yes,2,-0.1117218031632731
2019,13828,Hybrid,CVT,No,Yes,6,0.06116905517269225
2016,399000,Diesel,Automatic,Yes,Yes,9,0.08793982428263726
2022,3158,Gasoline,Automatic,No,Yes,3,-0.036549339627757936
2020,12758,Gasoline,Automatic,No,Yes,5,0.02115734909525493
2012,206000,Gasoline,Dual Shift,No,Yes,13,0.1793403992636315
2018,37100,E85 Flex Fuel,Automatic,No,Yes,7,0.06907704634132165
2012,66000,Gasoline,Automatic,No,Yes,13,0.08304240553359918
2012,152000,Gasoline,Automatic,No,Yes,13,0.09847161955196533
2019,71273,Gasoline,CVT,No,Yes,6,0.1431161794811673
2022,7900,Gasoline,Automatic,No,Yes,3,-0.060879094101894925
2007,118000,Gasoline,Automatic,No,Yes,18,0.1252193935338234
2021,17300,Gasoline,Automatic,No,Yes,4,0.040323900222801426
2009,90367,Gasoline,Manual,No,Yes,16,0.06902035412063734
2014,36670,Gasoline,Dual Shift,No,Yes,11,0.03890994024993685
2017,96343,Diesel,Automatic,Yes,Yes,8,0.04654624969993538
2018,74600,Gasoline,Dual Shift,No,Yes,7,0.04849200100148148
2004,92500,Gasoline,Dual Shift,No,Yes,21,0.12105615498279863
2008,62930,Gasoline,Automatic,Yes,Yes,17,0.08787734242226831
2020,49000,Gasoline,Automatic,No,Yes,5,0.059515454755622345
2013,58000,Gasoline,Automatic,No,Yes,12,0.13673208281654495
2022,19361,Gasoline,Automatic,No,No,3,-0.02442559399941151
2017,43000,Electric,Automatic,No,Yes,8,0.15759139226806812
2011,175000,Gasoline,Automatic,No,Yes,14,0.12493180382050785
2022,14000,Gasoline,Automatic,No,Yes,3,0.07192725498056864
2019,67000,Hybrid,Dual Shift,No,Yes,6,0.1147530845387143
2002,69300,Gasoline,Manual,Yes,Yes,23,0.08448718013687162
2019,46000,Hybrid,CVT,No,Yes,6,0.07322249876929658
2015,38000,Gasoline,Automatic,No,Yes,10,0.08935874634268491
2006,42000,Gasoline,Manual,No,Yes,19,0.04843044227225097
2007,7346,Gasoline,Manual,No,Yes,18,0.025946430139410077
2008,98231,Gasoline,Automatic,Yes,Yes,17,0.07386733493211663
2022,7800,Electric,Automatic,No,Yes,3,-0.026984043360592014
2020,41500,Hybrid,Automatic,No,Yes,5,0.11091389263681557
2020,28000,Gasoline,Automatic,No,Yes,5,0.0756323936142792
2014,53500,Gasoline,Automatic,No,Yes,11,0.09623745017813229
2021,33523,Hybrid,Automatic,No,No,4,0.11165107294468957
2016,86300,Hybrid,Automatic,Yes,Yes,9,0.07905615667732341
2022,7738,Gasoline,Dual Shift,Yes,Yes,3,0.008939651142912872
2020,22001,Gasoline,Automatic,No,Yes,5,0.060073488655311855
2022,14361,Gasoline,Automatic,No,Yes,3,0.05650717945578829
2016,98000,E85 Flex Fuel,Overdrive Switch,Yes,Yes,9,0.10135433310219272
2022,30455,Gasoline,Automatic,No,No,3,0.06046718156604495
2020,64552,Gasoline,Automatic,Yes,Yes,5,0.13967432093935034
2017,103866,Gasoline,Automatic,Yes,Yes,8,0.10855755384692216
2019,35650,Gasoline,Automatic,Yes,Yes,6,0.13921165716216008
2021,64957,Gasoline,Automatic,No,Yes,4,0.15006352443311927
2012,33700,Others,Manual,No,Yes,13,0.04715547200620465
2012,96653,Gasoline,Automatic,Yes,Yes,13,0.12830448932662375
2018,63460,E85 Flex Fuel,Automatic,No,Yes,7,0.027866893456456952
2018,32199,Gasoline,Automatic,No,Yes,7,0.0448466016888604
2011,95426,Gasoline,Automatic,No,Yes,14,0.07567725510464796
2001,119900,Gasoline,Manual,Yes,Yes,24,0.049181078070615815
1996,85760,Gasoline,Automatic,No,Yes,29,0.05738937093394586
2023,7500,Gasoline,Automatic,No,Yes,2,-0.03295011320478016
2022,26520,Gasoline,Automatic,Yes,Yes,3,0.12427451272801943
2022,20500,Electric,Automatic,No,Yes,3,0.15230249844115976
2018,5918,Gasoline,Automatic,No,No,7,0.05672798917305443
2005,75000,Gasoline,Manual,Unknown,No,20,0.07138689383707998
2014,95000,Gasoline,Dual Shift,No,Yes,11,0.07625401166869814
2020,49400,Gasoline,Automatic,No,Yes,5,0.08410688136344538
2020,11256,Gasoline,Automatic,No,Yes,5,-0.008104359878233665
2021,2100,Gasoline,Manual,Unknown,No,4,-0.0228062591180166
2021,16100,Gasoline,Automatic,No,Yes,4,0.03304070237071894
2023,5500,Gasoline,Automatic,No,Yes,2,-0.030846524762477685
2022,2010,Gasoline,Dual Shift,No,Yes,3,-0.04802166917314834
2014,102370,Gasoline,Automatic,No,Yes,11,0.10156367663031131
2011,16000,Gasoline,Dual Shift,No,Yes,14,0.028802956117825046
2010,248000,E85 Flex Fuel,Automatic,Yes,Yes,15,0.07920407791482957
2023,940,Electric,Automatic,Unknown,No,2,-0.11022513183173166
2022,7900,Electric,Automatic,No,Yes,3,0.02748903894817221
2020,23647,Gasoline,Automatic,No,Yes,5,0.0707340553080478
2014,127941,Gasoline,Automatic,No,Yes,11,0.08865577402055369
2015,157000,E85 Flex Fuel,Automatic,No,Yes,10,0.11389447516226317
2023,9095,Electric,Automatic,No,Yes,2,0.081455612710511
2020,16741,Gasoline,Automatic,No,Yes,5,0.012807679219177784
2023,11100,Gasoline,Dual Shift,No,Yes,2,0.07277115264532909
2020,36000,E85 Flex Fuel,Automatic,No,Yes,5,-0.01874229168812556
2018,53782,Gasoline,Manual,Yes,Yes,7,0.061707978662886735
2011,160000,Gasoline,Automatic,No,Yes,14,0.1805343071965221
2016,83400,Gasoline,Automatic,Yes,Yes,9,0.08301108332201688
2019,74414,Gasoline,Automatic,No,Yes,6,0.12257826456000981
2018,53450,Gasoline,Automatic,No,Yes,7,0.10870942947491188
2018,63277,Gasoline,Automatic,No,Yes,7,0.08990873818369696
2020,30900,Gasoline,Automatic,No,Yes,5,0.07082099554721899
2019,60854,Gasoline,Automatic,No,No,6,0.09157807457283297
2015,85000,Gasoline,Automatic,No,Yes,10,0.07849762349581749
2016,108130,Gasoline,Dual Shift,No,Yes,9,0.07601182621197737
2023,11400,Gasoline,Automatic,No,Yes,2,0.040749919760516354
2013,63300,Gasoline,Automatic,No,Yes,12,0.11411185603654528
2020,27500,Electric,Automatic,No,Yes,5,0.10366403928746719
2012,122600,Gasoline,Automatic,Yes,Yes,13,0.13751095991614626
2006,145565,Gasoline,Automatic,Yes,Yes,19,0.11505401619143975
2016,66500,Gasoline,Automatic,No,Yes,9,0.06283836263820416
2021,24781,Gasoline,Automatic,Unknown,No,4,0.09565318803916904
2013,67000,Gasoline,Automatic,Yes,Yes,12,0.12542213087527276
2019,24500,Gasoline,Automatic,No,Yes,6,0.11829175244547933
2013,37500,Gasoline,Automatic,No,Yes,12,0.095025645646745
1996,38000,Others,Dual Shift,Unknown,No,29,0.025467593796084147
2022,14550,Hybrid,Automatic,No,Yes,3,0.0629953488842342
2016,67499,Gasoline,Manual,No,Yes,9,0.04909310523008234
2004,220450,Gasoline,Automatic,No,Yes,21,0.08737393176429836
2013,90000,Gasoline,Dual Shift,No,Yes,12,0.09916373366495562
2018,49650,Gasoline,Automatic,Yes,Yes,7,0.15377794371942008
2015,149800,Gasoline,Automatic,Yes,Yes,10,0.09469537116993182
2016,91239,Gasoline,Automatic,No,Yes,9,0.13285604773552553
2022,2950,Gasoline,Automatic,No,Yes,3,-0.0453227945559184
2017,58060,Gasoline,Automatic,Yes,Yes,8,0.10915483606747897
2021,7008,Gasoline,Automatic,Unknown,No,4,0.004692355647751988
2022,21057,Gasoline,Dual Shift,No,Yes,3,0.1339102296423003
2020,43000,Gasoline,Automatic,Yes,Yes,5,0.06046486983773018
